model,variant
Gemini,gemini-2.5-pro
Gemini,gemini-2.5-flash
Gemini,gemini-2.5-flash-lite
Gemini,gemini-live-2.5-flash-preview
Gemini,gemini-2.0-flash
Gemini,gemini-2.0-flash-lite
Gemini,gemini-1.5-flash
Claude,claude-opus-4-1
Claude,claude-opus-4-0
Claude,claude-sonnet-4-0
Claude,claude-3-7-sonnet-latest
Claude,"	claude-3-5-sonnet-latest"
Claude,claude-3-5-haiku-latest
ChatGPT,gpt-5
ChatGPT,gpt-5-mini
ChatGPT,gpt-5-nano
ChatGPT,gpt-4.1
ChatGPT,o3-deep-research
ChatGPT,o4-mini-deep-research
ChatGPT,o4-mini
ChatGPT,gpt-4.1-mini
ChatGPT,gpt-4.1-nano
ChatGPT,o1-pro
ChatGPT,gpt-4o-mini-search-preview
ChatGPT,gpt-4o
ChatGPT,gpt-4o-mini
ChatGPT,gpt-4-turbo
ChatGPT,chatgpt-4o-latest
ChatGPT,gpt-4
